College Name,City,State,Country
Institute of Infrastructure Technology Research and Management,Ahmedabad,Gujarat,India
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,India
Mahatma Gandhi Institute of Technology,Hyderabad,Telangana,India
Shri Ramdeobaba College of Engineering and Management,Nagpur,Maharashtra,India
Deen Bandhu Chhotu Ram University of Science and Technology,Sonepat,Haryana,India
Shivaji University,Kolhapur,Maharashtra,India
Dharmsinh Desai University,Nadiad,Gujarat,India
The National Institute of Engineering,Mysuru,Karnataka,India
Indira Gandhi Delhi Technical University for Women,New Delhi,Delhi,India
Dayalbagh Educational Institute,Agra,Uttar Pradesh,India
ICFAI Foundation for Higher Education,Hyderabad,Telangana,India
Bundelkhand University,Jhansi,Uttar Pradesh,India
ITM University,Gwalior,Madhya Pradesh,India
CMR College of Engineering and Technology,Hyderabad,Telangana,India
Veer Surendra Sai University of Technology,Burla,Odisha,India
KLE Technological University,Hubli,Karnataka,India
Gayatri Vidya Parishad College of Engineering,Visakhapatnam,Andhra Pradesh,India
University Institute of Engineering and Technology,Chandigarh,Chandigarh,India
Hindustan Institute of Technology and Science,Chennai,Tamil Nadu,India
Banasthali Vidyapith,Jaipur,Rajasthan,India
University of Lucknow,Lucknow,Uttar Pradesh,India
Presidency University,Bengaluru,Karnataka,India
GMR Institute of Technology,Srikakulam,Andhra Pradesh,India
JSS Science and Technology University,Mysuru,Karnataka,India
National Institute of Technology Meghalaya ,Shillong,Meghalaya,India
National Institute of Technology Arunachal Pradesh ,Papum Pare,Arunachal Pradesh,India
Bennett University,Greater Noida,Uttar Pradesh,India
MIT Academy of Engineering,Pune,Maharashtra,India
College of Technology,Pantnagar,Uttarakhand,India
Bharati Vidyapeeth's College of Engineering,New Delhi,Delhi,India
BS Abdur Rahman Institute of Science and Technology,Chennai,Tamil Nadu,India
University Institute of Engineering and Technology,Kurukshetra,Haryana,India
Vardhaman College of Engineering,Hyderabad,Telangana,India
Bangalore University,Bengaluru,Karnataka,India
St Joseph's College of Engineering,Chennai,Tamil Nadu,India
Indian Institute of Science Education and Research Bhopal ,Bhopal,Madhya Pradesh,India
Manipal University,Jaipur,Rajasthan,India
Malla Reddy College of Engineering and Technology,Hyderabad,Telangana,India
Bundelkhand Institute of Engineering and Technology,Jhansi,Uttar Pradesh,India
Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,Andhra Pradesh,India
Dayananda Sagar Academy of Technology and Management,Bengaluru,Karnataka,India
Jawaharlal Nehru Technological University,Hyderabad,Telangana,India
Alliance College of Engineering and Design,Bengaluru,Karnataka,India
Rajasthan Technical University,Kota,Rajasthan,India
Amrita School of Engineering,Bengaluru,Karnataka,India
Indira Gandhi National Open University,New Delhi,Delhi,India
Jalpaiguri Government Engineering College,Jalpaiguri,West Bengal,India
Shri Mata Vaishno Devi University,Katra,Jammu and Kashmir,India
Guru Jambheshwar University of Science and Technology,Hisar,Haryana,India
BNM Institute of Technology,Bengaluru,Karnataka,India
National Institute of Technology Nagaland ,Dimapur,Nagaland,India
Lakshmi Narain College of Technology,Bhopal,Madhya Pradesh,India
MBM Engineering College,Jodhpur,Rajasthan,India
Institute of Engineering and Technology Devi Ahilya Vishwavidyalaya,Indore,Madhya Pradesh,India
Bharath Institute of Higher Education and Research,Chennai,Tamil Nadu,India
Jabalpur Engineering College,Jabalpur,Madhya Pradesh,India
Guru Ghasidas Vishwavidyalaya,Bilaspur,Chhattisgarh,India
Government College of Engineering,Amravati,Maharashtra,India
Vidyalankar Institute of Technology,Mumbai,Maharashtra,India
Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology,Chennai,Tamil Nadu,India
Indian Institute of Information Technology,Gandhinagar,Gujarat,India
Vishwakarma Institute of Information Technology,Pune,Maharashtra,India
Dr DY Patil Institute of Technology,Pune,Maharashtra,India
Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra,India
Vel's Institute of Science Technology and Advanced Studies,Chennai,Tamil Nadu,India
CV Raman College of Engineering,Bhubaneswar,Odisha,India
ABES Engineering College,Ghaziabad,Uttar Pradesh,India
Velammal Engineering College,Chennai,Tamil Nadu,India
Amity School of Engineering and Technology,New Delhi,Delhi,India
Mukesh Patel School of Technology Management and Engineering,Mumbai,Maharashtra,India
The Oxford College of Engineering,Bengaluru,Karnataka,India
RNS Institute of Technology,Bengaluru,Karnataka,India
National Institute of Technology Mizoram ,Aizawl,Mizoram,India
BV Raju Institute of Technology,Narsapur,Telangana,India
Karunya Institute of Technology and Sciences,Coimbatore,Tamil Nadu,India
International Institute of Information Technology,Bhubaneswar,Odisha,India
JNTUK University College of Engineering,Vizianagaram,Andhra Pradesh,India
National Institute of Technology Sikkim ,Barfung,Sikkim,India
National Institute of Foundry and Forge Technology,Ranchi,Jharkhand,India
Jawaharlal Nehru Technological University,Kakinada,Andhra Pradesh,India
Dr Ambedkar Institute of Technology for Handicapped,Kanpur,Uttar Pradesh,India
TKM College of Engineering,Kollam,Kerala,India
Sree Vidyanikethan Engineering College,Tirupati,Andhra Pradesh,India
MVJ College of Engineering,Bengaluru,Karnataka,India
GH Raisoni College of Engineering,Nagpur,Maharashtra,India
AISSMS College of Engineering,Pune,Maharashtra,India
Jaipur National University,Jaipur,Rajasthan,India
Dr MGR Educational and Research Institute,Chennai,Tamil Nadu,India
New Horizon College of Engineering,Bengaluru,Karnataka,India
JNTUA College of Engineering,Anantapur,Andhra Pradesh,India
Maharaja Surajmal Institute of Technology,New Delhi,Delhi,India
Birla Vishvakarma Mahavidyalaya,Anand,Gujarat,India
University of Madras,Chennai,Tamil Nadu,India
Indian Institute of Technology Tirupati ,Tirupati,Andhra Pradesh,India
National Institute of Pharmaceutical Education and Research SAS Nagar ,Sahibzada Ajit Singh Nagar,Punjab,India
Chitkara University,Patiala,Punjab,India
SRM Institute of Science and Technology,Sadabad Jakhaiva,Uttar Pradesh,India
JSS Academy of Technical Education,Bengaluru,Karnataka,India
BIT Sindri,Dhanbad,Jharkhand,India
Sreenidhi Institute of Science and Technology,Yamnampet,Telangana,India
Kongu Engineering College,Perundurai,Tamil Nadu,India
College of Engineering and Technology,Bhubaneshwar,Odisha,India
Techno India,Kolkata,West Bengal,India
Chandigarh College of Engineering and Technology,Chandigarh,Chandigarh,India
Graphic Era Hill University,Dehradun,Uttarakhand,India
Guru Nanak Institutions Technical Campus,Hyderabad,Telangana,India
Fr Conceicao Rodrigues College of Engineering,Mumbai,Maharashtra,India
Indian Institute of Information Technology Tiruchirappalli ,Tiruchirappalli,Tamil Nadu,India
The NorthCap University,Gurgaon,Haryana,India
Babu Banarasi Das University,Lucknow,Uttar Pradesh,India
University Institute of Technology Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal,Madhya Pradesh,India
SJB Institute of Technology,Bengaluru,Karnataka,India
University Institute of Engineering and Technology CSJMU,Kanpur,Uttar Pradesh,India
Pondicherry Engineering College,Pillaichavady,Puducherry,India
Vishnu Institute of Technology,Bhimavaram,Andhra Pradesh,India
SRM University AP,Kuragallu,Andhra Pradesh,India
Kakatiya Institute of Technology and Science,Warangal,Telangana,India
Vignan's Foundation for Science Technology and Research,Guntur,Andhra Pradesh,India
School of Planning and Architecture Delhi ,New Delhi,Delhi,India
GB Pant Government Engineering College,New Delhi,Delhi,India
Gurukula Kangri Vishwavidyalaya,Haridwar,Uttarakhand,India
Academy of Technology,Hooghly,West Bengal,India
Ansal University,Gurugram,Haryana,India
Vishwakarma Government Engineering College,Ahmedabad,Gujarat,India
BML Munjal University,Gurgaon,Haryana,India
Don Bosco Institute of Technology,Bengaluru,Karnataka,India
Indian Institute of Information Technology,Sri City,Andhra Pradesh,India
Bannari Amman Institute of Technology,Erode,Tamil Nadu,India
MLR Institute of Technology,Hyderabad,Telangana,India
Chennai Institute of Technology,Chennai,Tamil Nadu,India
Government College of Engineering,Karad,Maharashtra,India
Rajiv Gandhi Institute of Technology,Kottayam,Kerala,India
Birla Institute of Technology,Patna,Bihar,India
Fr C Rodrigues Institute of Technology,Navi Mumbai,Maharashtra,India
Pondicherry University,Kalapet,Puducherry,India
Symbiosis Institute of Technology,Pune,Maharashtra,India
Government Engineering College,Thrissur,Kerala,India
Rajasthan Institute of Engineering and Technology,Jaipur,Rajasthan,India
Feroze Gandhi Institute of Engineering and Technology,Raebareli,Uttar Pradesh,India
Bidhan Chandra Krishi Vishwavidyalaya,Manpur,West Bengal,India
Sagi Ramakrishnam Raju Engineering College,Bhimavaram,Andhra Pradesh,India
Mahatma Jyotiba Phule Rohilkhand University,Bareilly,Uttar Pradesh,India
CEPT University,Ahmedabad,Gujarat,India
KIET Group of Institutions,Ghaziabad,Uttar Pradesh,India
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,India
Dr DY Patil Institute of Engineering and Technology,Pune,Maharashtra,India
SRM University,Sonipat,Haryana,India
Pune Vidyarthi Griha's College of Engineering and Technology,Pune,Maharashtra,India
Institute of Aeronautical Engineering,Domara Pocham Pally,Telangana,India
Bhagalpur College of Engineering,Bhagalpur,Bihar,India
University of Kalyani,Kalyani,West Bengal,India
Mahatma Gandhi University,Kottayam,Kerala,India
IEC College of Engineering and Technology,Greater Noida,Uttar Pradesh,India
NIMS University,Jaipur,Rajasthan,India
KIET School of Engineering,Muradnagar,Uttar Pradesh,India
Muzaffarpur Institute of Technology,Muzaffarpur,Bihar,India
Government College of Engineering and Leather Technology,Kolkata,West Bengal,India
University Institute of Engineering and Technology,Rohtak,Haryana,India
RVR and JC College of Engineering,Guntur,Andhra Pradesh,India
Bhilai Institute of Technology,Durg,Chhattisgarh,India
Maharishi Markandeshwar Deemed to be University,Mullana,Haryana,India
Narula Institute of Technology,Kolkata,West Bengal,India
Government College of Engineering and Textile Technology,Murshidabad,West Bengal,India
Alagappa College of Technology,Chennai,Tamil Nadu,India
Central Institute of Plastics Engineering and Technology,Lucknow,Uttar Pradesh,India
Jaypee University of Information Technology,Solan,Himachal Pradesh,India
Sri Venkateswara College of Engineering,Tirupati,Andhra Pradesh,India
Indian Agricultural Research Institute,New Delhi,Delhi,India
College of Technology and Engineering,Udaipur,Rajasthan,India
University Institute of Technology,Burdwan,West Bengal,India
Amrita School of Engineering,Vallikavu,Kerala,India
Punjabi University,Patiala,Punjab,India
Rajagiri School of Engineering and Technology,Kochi,Kerala,India
Indian Institute of Information Technology,Jaipur,Rajasthan,India
Government College of Engineering and Ceramic Technology,Kolkata,West Bengal,India
BVV Sangha's Basaveshwar Engineering College,Bagalkot,Karnataka,India
Dwarkadas J Sanghvi College of Engineering,Mumbai,Maharashtra,India
JECRC University,Jaipur,Rajasthan,India
NIE Institute of Technology,Anagahalli,Karnataka,India
Techno International New Town,New Town,West Bengal,India
Rajarajeswari College of Engineering,Bengaluru,Karnataka,India
Government College of Engineering and Research,Awasari Khurd,Maharashtra,India
Dr BR Ambedkar University,Agra,Uttar Pradesh,India
DY Patil College of Engineering,Pimpri-Chinchwad,Maharashtra,India
DIT University,Dehradun,Uttarakhand,India
Vidyavardhaka College of Engineering,Mysuru,Karnataka,India
AMC Engineering College,Bengaluru,Karnataka,India
Thakur College of Engineering and Technology,Mumbai,Maharashtra,India
Mizoram University,Aizawl,Mizoram,India
Acharya Nagarjuna University,Guntur,Andhra Pradesh,India
Sam Higginbottom Institute of Agriculture Technology and Science,Allahabad,Uttar Pradesh,India
Mody University of Science and Technology,Sikar,Rajasthan,India
Jiwaji University,Gwalior,Madhya Pradesh,India
Indian Statistical Institute Kolkata ,Kolkata,West Bengal,India
Indian Institute of Information Technology Dharwad ,Hubballi,Karnataka,India
Veer Bahadur Singh Purvanchal University,Jaunpur,Uttar Pradesh,India
Indian Maritime University,Chennai,Tamil Nadu,India
Indian Institute of Information Technology,Guwahati,Assam,India
Government Engineering College,Gandhinagar,Gujarat,India
Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal,Madhya Pradesh,India
Madhav Institute of Technology and Science,Gwalior,Madhya Pradesh,India
Indian Institute of Information Technology Kalyani ,Kanchrapara,West Bengal,India
CMR Institute of Technology,Hyderabad,Telangana,India
SDM College of Engineering and Technology,Dharwad,Karnataka,India
National Dairy Research Institute,Karnal,Haryana,India
Loyola-ICAM College of Engineering and Technology,Chennai,Tamil Nadu,India
PES College of Engineering,Mandya,Karnataka,India
Sri Ramakrishna Engineering College,Coimbatore,Tamil Nadu,India
Mepco Schlenk Engineering College,Melamattur,Tamil Nadu,India
Pimpri Chinchwad College of Engineering,Pune,Maharashtra,India
CMR Institute of Technology,Bengaluru,Karnataka,India
Anil Neerukonda Institute of Technology and Sciences,Visakhapatnam,Andhra Pradesh,India
Gujarat Technological University,Ahmedabad,Gujarat,India
ICFAI University,Dehradun,Uttarakhand,India
Guru Tegh Bahadur Institute of Technology,New Delhi,Delhi,India
Faculty of Engineering and Technology,Faridabad,Haryana,India
Mar Athanasius College of Engineering,Kothamangalam,Kerala,India
Maharshi Dayanand University,Rohtak,Haryana,India
ACS College of Engineering,Bengaluru,Karnataka,India
Charotar University of Science and Technology,Changa,Gujarat,India
Sri Sai Ram Engineering College,Chennai,Tamil Nadu,India
HKBK College of Engineering,Bengaluru,Karnataka,India
College of Agricultural Engineering,Guntur,Andhra Pradesh,India
Himachal Pradesh University,Shimla,Himachal Pradesh,India
Indian Institute of Information Technology,Pune,Maharashtra,India
Government College of Engineering Textile Technology,Serampore,West Bengal,India
Marri Laxman Reddy Institute of Technology and Management,Hyderabad,Telangana,India
Shri Sant Gajanan Maharaj College of Engineering,Shegaon,Maharashtra,India
Alagappa Chettiar College of Engineering and Technology,Karaikudi,Tamil Nadu,India
Dr Akhilesh Das Gupta Institute of Technology and Management,New Delhi,Delhi,India
Sri Padmavati Mahila Visvavidyalayam,Tirupati,Andhra Pradesh,India
KLS Gogte Institute of Technology,Belgaum,Karnataka,India
International Institute of Information Technology,Pimpri-Chinchwad,Maharashtra,India
Dibrugarh University,Dibrugarh,Assam,India
RMK Engineering College,Tiruvallur,Tamil Nadu,India
MIT School of Engineering,Pune,Maharashtra,India
CMR Engineering College,Hyderabad,Telangana,India
Maharaj Vijayaram Gajapathi Raj College of Engineering,Vizianagaram,Andhra Pradesh,India
Mahindra Ecole Centrale,Hyderabad,Telangana,India
Siksha 'O' Anusandhan,Bhubaneshwar,Odisha,India
Lakireddy Bali Reddy College of Engineering,Mylavaram,Andhra Pradesh,India
PDM University,Bahadurgarh,Haryana,India
Easwari Engineering College,Chennai,Tamil Nadu,India
Cambridge Institute of Technology,Bengaluru,Karnataka,India
Indian Institute of Information Technology Design and Manufacturing Kurnool ,Kurnool,Andhra Pradesh,India
Rajiv Gandhi Institute of Petroleum Technology Amethi ,Amethi,Uttar Pradesh,India
Bengal College of Engineering and Technology,Durgapur,West Bengal,India
School of Planning and Architecture Vijayawada ,Velpuru,Andhra Pradesh,India
Shri Ram Murti Smarak College of Engineering and Technology,Bareilly,Uttar Pradesh,India
University of Rajasthan,Jaipur,Rajasthan,India
G Pulla Reddy Engineering College,Kurnool,Andhra Pradesh,India
Yeshwantrao Chavan College of Engineering,Nagpur,Maharashtra,India
Netaji Subhash Engineering College,Garia,West Bengal,India
Dr Babasaheb Ambedkar Technological University,Lonere,Maharashtra,India
Don Bosco Institute of Technology,Mumbai,Maharashtra,India
Vivekananda Global University,Jaipur,Rajasthan,India
RCC Institute of Information Technology,Kolkata,West Bengal,India
Dr BC Roy Engineering College,Durgapur,West Bengal,India
Raj Kumar Goel Institute of Technology,Ghaziabad,Uttar Pradesh,India
Prasad V Potluri Siddhartha Institute of Technology,Vijayawada,Andhra Pradesh,India
JNTUH College of Engineering,Pannur,Telangana,India
AD Patel Institute of Technology,Vitthal Udyognagar INA,Gujarat,India
Ambedkar Institute of Technology,New Delhi,Delhi,India
JNTUH College of Engineering,Pulkal,Telangana,India
University of Allahabad Allahabad ,Allahabad,Uttar Pradesh,India
Indian Institute of Information Technology,Kottayam,Kerala,India
Kalasalingam Academy of Research and Education,Krishnan Kovil,Tamil Nadu,India
Institute of Engineering and Technology,Ahmedabad,Gujarat,India
Rajalakshmi Engineering College,Chennai,Tamil Nadu,India
Indian Institute of Information Technology,Allahabad,Uttar Pradesh,India
JNTUA College of Engineering,Pulivendula,Andhra Pradesh,India
Sri Venkateswara College of Engineering,Kanchipuram,Tamil Nadu,India
Government Engineering College,Sejbahar,Chhattisgarh,India
Shri Guru Gobind Singhji Institute of Engineering and Technology,Vishnupuri,Maharashtra,India
Future Institute of Engineering and Management,Kolkata,West Bengal,India
Ambedkar Institute of Advanced Communication Technologies and Research,New Delhi,Delhi,India
Sona College of Technology,Salem,Tamil Nadu,India
JNTUH College of Engineering,Karimnagar,Telangana,India
CMR Technical Campus,Kandlakoi,Telangana,India
NIIT University,Neemrana,Rajasthan,India
Indian Institute of Information Technology,Kilrod,Haryana,India
Chandigarh Group of Colleges,Landran,Punjab,India
Integral University,Lucknow,Uttar Pradesh,India
Vasireddy Venkatadri Institute of Technology,Guntur,Andhra Pradesh,India
Asansol Engineering College,Asansol,West Bengal,India
KJ Somaiya Institute of Engineering and Information Technology,Mumbai,Maharashtra,India
ANU College of Engineering and Technology,Guntur,Andhra Pradesh,India
G Narayanamma Institute of Technology and Science For Women,Hyderabad,Telangana,India
Adhiyamaan College of Engineering,Krishnagiri,Tamil Nadu,India
Government College of Engineering,Salem,Tamil Nadu,India
Gautam Buddha University,Greater Noida,Uttar Pradesh,India
Dhole Patil College of Engineering,Pune,Maharashtra,India
Govind Ballabh Pant Institute of Engineering and Technology,Pawomalla,Uttarakhand,India
Vignan's Institute of Information Technology,Visakhapatnam,Andhra Pradesh,India
KK Wagh Institute of Engineering Education and Research,Nashik,Maharashtra,India
Vel Tech,Chennai,Tamil Nadu,India
Poornima University,Jaipur,Rajasthan,India
Rajkiya Engineering College,Akbarpur,Uttar Pradesh,India
Marine Engineering and Research Institute,Mumbai,Maharashtra,India
Kakatiya University,Hanamkonda,Telangana,India
Malla Reddy Engineering College,Secunderabad,Telangana,India
Coimbatore Institute of Engineering and Technology,Coimbatore,Tamil Nadu,India
Indraprastha College for Women,New Delhi,Delhi,India
Babasaheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,India
Jaipur Engineering College and Research Centre,Jaipur,Rajasthan,India
Indian Institute of Technology Palakkad ,Palakkad,Kerala,India
St Francis Institute of Technology,Mumbai,Maharashtra,India
KR Mangalam University,Sohna,Haryana,India
Indira Gandhi Institute of Technology,Khalapal,Odisha,India
Keshav Memorial Institute of Technology,Hyderabad,Telangana,India
Central Institute of Plastics Engineering and Technology,Chennai,Tamil Nadu,India
Government College of Engineering and Technology,Jammu,Jammu and Kashmir,India
